id_orden_compra,fecha_emision,fecha_pago,proveedor,categoria,monto_ars,condicion_pago,estado
OC-5001,2018-01-01,2018-08-01,DistribuidoraTech SA,Smartphones,255794843.0,Contado,Pagado
OC-5002,2018-01-01,2018-12-01,MegaComputo SRL,Computación,33132624.0,Contado,Pagado
OC-5003,2018-01-01,2018-12-01,DistribuidoraTech SA,Tablets,109255378.0,30 días,Pagado
OC-5004,2018-01-01,2018-07-01,ElectroImport SA,TV/Audio,22013869.0,30 días,Pagado
OC-5005,2018-01-01,2018-11-01,AccesoriosTotal SRL,Accesorios,106003285.0,60 días,Pagado
OC-5006,2018-01-01,,MegaComputo SRL,Periféricos,127504749.0,Contado,Pagado
OC-5007,2018-01-01,2018-08-01,MegaComputo SRL,Almacenamiento,7481191.0,Contado,Pagado
OC-5008,2018-01-01,,NetSupply SA,Redes,61392166.0,Contado,Pagado
OC-5009,2018-01-01,2018-10-01,NetSupply SA,Seguridad,49038467.0,Contado,Pagado
OC-5010,2018-01-02,2018-09-02,DistribuidoraTech SA,Smartphones,263485642.0,Contado,Pagado
OC-5011,2018-01-02,2018-07-02,MegaComputo SRL,Computación,295476749.0,60 días,Pagado
OC-5012,2018-01-02,,DistribuidoraTech SA,Tablets,109255404.0,60 días,Pagado
OC-5013,2018-01-02,,ElectroImport SA,TV/Audio,194011239.0,Contado,Pagado
OC-5014,2018-01-02,2018-11-02,AccesoriosTotal SRL,Accesorios,95843987.0,30 días,Pagado
OC-5015,2018-01-02,2018-06-02,MegaComputo SRL,Periféricos,135711406.0,30 días,Pagado
OC-5016,2018-01-02,,MegaComputo SRL,Almacenamiento,80697645.0,60 días,Pagado
OC-5017,2018-01-02,,NetSupply SA,Redes,70249542.0,30 días,Pagado
OC-5018,2018-01-02,2018-10-02,NetSupply SA,Seguridad,46998752.0,30 días,Pagado
OC-5019,2018-01-03,2018-09-03,DistribuidoraTech SA,Smartphones,263272012.0,Contado,Pagado
OC-5020,2018-01-03,2018-10-03,MegaComputo SRL,Computación,344975703.0,60 días,Pagado
OC-5021,2018-01-03,2018-09-03,DistribuidoraTech SA,Tablets,13783141.0,30 días,Pagado
OC-5022,2018-01-03,,ElectroImport SA,TV/Audio,204003709.0,30 días,Pagado
OC-5023,2018-01-03,2018-12-03,AccesoriosTotal SRL,Accesorios,102853333.0,30 días,Pagado
OC-5024,2018-01-03,2018-11-03,MegaComputo SRL,Periféricos,141284941.0,Contado,Pagado
OC-5025,2018-01-03,2018-05-03,MegaComputo SRL,Almacenamiento,91341696.0,Contado,Pagado
OC-5026,2018-01-03,,NetSupply SA,Redes,64231021.0,Contado,Pagado
OC-5027,2018-01-03,,NetSupply SA,Seguridad,55776533.0,60 días,Pagado
OC-5028,2018-01-04,2018-05-04,DistribuidoraTech SA,Smartphones,349285183.0,60 días,Pagado
OC-5029,2018-01-04,,MegaComputo SRL,Computación,347682194.0,Contado,Pagado
OC-5030,2018-01-04,2018-10-04,DistribuidoraTech SA,Tablets,143697195.0,30 días,Pagado
OC-5031,2018-01-04,2018-05-04,ElectroImport SA,TV/Audio,286258769.0,30 días,Pagado
OC-5032,2018-01-04,2018-11-04,AccesoriosTotal SRL,Accesorios,124221193.0,30 días,Pagado
OC-5033,2018-01-04,,MegaComputo SRL,Periféricos,176940943.0,60 días,Pagado
OC-5034,2018-01-04,,MegaComputo SRL,Almacenamiento,95233118.0,60 días,Pagado
OC-5035,2018-01-04,2018-11-04,NetSupply SA,Redes,73347651.0,30 días,Pagado
OC-5036,2018-01-04,,NetSupply SA,Seguridad,67119688.0,30 días,Pagado
OC-5037,2018-01-05,2018-09-05,DistribuidoraTech SA,Smartphones,468001433.0,30 días,Pagado
OC-5038,2018-01-05,2018-11-05,MegaComputo SRL,Computación,490777685.0,60 días,Pagado
OC-5039,2018-01-05,,DistribuidoraTech SA,Tablets,256343121.0,30 días,Pagado
OC-5040,2018-01-05,2018-09-05,ElectroImport SA,TV/Audio,407031072.0,30 días,Pagado
OC-5041,2018-01-05,,AccesoriosTotal SRL,Accesorios,19188555.0,Contado,Pagado
OC-5042,2018-01-05,,MegaComputo SRL,Periféricos,240215728.0,30 días,Pagado
OC-5043,2018-01-05,2018-07-05,MegaComputo SRL,Almacenamiento,165767636.0,60 días,Pagado
OC-5044,2018-01-05,,NetSupply SA,Redes,13887163.0,60 días,Pagado
OC-5045,2018-01-05,,NetSupply SA,Seguridad,94163714.0,60 días,Pagado
OC-5046,2018-01-06,,DistribuidoraTech SA,Smartphones,29847491.0,60 días,Pagado
OC-5047,2018-01-06,2018-06-06,MegaComputo SRL,Computación,312071664.0,Contado,Pagado
OC-5048,2018-01-06,2018-06-06,DistribuidoraTech SA,Tablets,139610102.0,Contado,Pagado
OC-5049,2018-01-06,,ElectroImport SA,TV/Audio,22721206.0,Contado,Pagado
OC-5050,2018-01-06,,AccesoriosTotal SRL,Accesorios,98843881.0,60 días,Pagado
OC-5051,2018-01-06,,MegaComputo SRL,Periféricos,134086163.0,30 días,Pagado
OC-5052,2018-01-06,,MegaComputo SRL,Almacenamiento,94994912.0,Contado,Pagado
OC-5053,2018-01-06,,NetSupply SA,Redes,68863654.0,60 días,Pagado
OC-5054,2018-01-06,,NetSupply SA,Seguridad,6213066.0,Contado,Pagado
OC-5055,2018-01-07,,DistribuidoraTech SA,Smartphones,505699928.0,60 días,Pagado
OC-5056,2018-01-07,,MegaComputo SRL,Computación,509425096.0,Contado,Pagado
OC-5057,2018-01-07,,DistribuidoraTech SA,Tablets,21825934.0,30 días,Pagado
OC-5058,2018-01-07,2018-10-07,ElectroImport SA,TV/Audio,373229282.0,60 días,Pagado
OC-5059,2018-01-07,,AccesoriosTotal SRL,Accesorios,190465831.0,30 días,Pagado
OC-5060,2018-01-07,,MegaComputo SRL,Periféricos,210486967.0,Contado,Pagado
OC-5061,2018-01-07,,MegaComputo SRL,Almacenamiento,145977167.0,60 días,Pagado
OC-5062,2018-01-07,,NetSupply SA,Redes,117093315.0,60 días,Pagado
OC-5063,2018-01-07,2018-06-07,NetSupply SA,Seguridad,98822696.0,Contado,Pagado
OC-5064,2018-01-08,,DistribuidoraTech SA,Smartphones,296659253.0,Contado,Pagado
OC-5065,2018-01-08,,MegaComputo SRL,Computación,328670848.0,30 días,Pagado
OC-5066,2018-01-08,,DistribuidoraTech SA,Tablets,122281635.0,60 días,Pagado
OC-5067,2018-01-08,2018-09-08,ElectroImport SA,TV/Audio,21598949.0,Contado,Pagado
OC-5068,2018-01-08,2018-10-08,AccesoriosTotal SRL,Accesorios,112482242.0,60 días,Pagado
OC-5069,2018-01-08,,MegaComputo SRL,Periféricos,154784482.0,60 días,Pagado
OC-5070,2018-01-08,2018-11-08,MegaComputo SRL,Almacenamiento,81885126.0,Contado,Pagado
OC-5071,2018-01-08,,NetSupply SA,Redes,67269217.0,30 días,Pagado
OC-5072,2018-01-08,2018-11-08,NetSupply SA,Seguridad,51918563.0,30 días,Pagado
OC-5073,2018-01-09,2018-11-09,DistribuidoraTech SA,Smartphones,433548362.0,Contado,Pagado
OC-5074,2018-01-09,,MegaComputo SRL,Computación,447612712.0,Contado,Pagado
OC-5075,2018-01-09,2018-05-09,DistribuidoraTech SA,Tablets,17240261.0,Contado,Pagado
OC-5076,2018-01-09,2018-09-09,ElectroImport SA,TV/Audio,312056221.0,Contado,Pagado
OC-5077,2018-01-09,2018-08-09,AccesoriosTotal SRL,Accesorios,175572229.0,Contado,Pagado
OC-5078,2018-01-09,,MegaComputo SRL,Periféricos,210714672.0,Contado,Pagado
OC-5079,2018-01-09,,MegaComputo SRL,Almacenamiento,11829714.0,60 días,Pagado
OC-5080,2018-01-09,,NetSupply SA,Redes,108943222.0,30 días,Pagado
OC-5081,2018-01-09,2018-09-09,NetSupply SA,Seguridad,90225216.0,Contado,Pagado
OC-5082,2018-01-10,,DistribuidoraTech SA,Smartphones,490096072.0,30 días,Pagado
OC-5083,2018-01-10,,MegaComputo SRL,Computación,520689823.0,60 días,Pagado
OC-5084,2018-01-10,,DistribuidoraTech SA,Tablets,237660876.0,60 días,Pagado
OC-5085,2018-01-10,2018-06-10,ElectroImport SA,TV/Audio,411989273.0,60 días,Pagado
OC-5086,2018-01-10,2018-08-10,AccesoriosTotal SRL,Accesorios,187193251.0,Contado,Pagado
OC-5087,2018-01-10,,MegaComputo SRL,Periféricos,25162498.0,60 días,Pagado
OC-5088,2018-01-10,2018-10-10,MegaComputo SRL,Almacenamiento,146973694.0,Contado,Pagado
OC-5089,2018-01-10,2018-10-10,NetSupply SA,Redes,111442738.0,30 días,Pagado
OC-5090,2018-01-10,2018-12-10,NetSupply SA,Seguridad,105054766.0,30 días,Pagado
OC-5091,2018-01-11,2018-06-11,DistribuidoraTech SA,Smartphones,481475119.0,60 días,Pagado
OC-5092,2018-01-11,2018-05-11,MegaComputo SRL,Computación,511352522.0,30 días,Pagado
OC-5093,2018-01-11,,DistribuidoraTech SA,Tablets,200522754.0,60 días,Pagado
OC-5094,2018-01-11,,ElectroImport SA,TV/Audio,365046269.0,60 días,Pagado
OC-5095,2018-01-11,2018-09-11,AccesoriosTotal SRL,Accesorios,165141529.0,30 días,Pagado
OC-5096,2018-01-11,2018-08-11,MegaComputo SRL,Periféricos,230698011.0,30 días,Pagado
OC-5097,2018-01-11,,MegaComputo SRL,Almacenamiento,11413215.0,Contado,Pagado
OC-5098,2018-01-11,2018-08-11,NetSupply SA,Redes,103287488.0,Contado,Pagado
OC-5099,2018-01-11,,NetSupply SA,Seguridad,67820038.0,30 días,Pagado
OC-5100,2018-01-12,2018-12-12,DistribuidoraTech SA,Smartphones,511834786.0,30 días,Pagado
OC-5101,2018-01-12,2018-12-12,MegaComputo SRL,Computación,590491486.0,Contado,Pagado
OC-5102,2018-01-12,2018-07-12,DistribuidoraTech SA,Tablets,252625706.0,60 días,Pagado
OC-5103,2018-01-12,2018-09-12,ElectroImport SA,TV/Audio,389939009.0,60 días,Pagado
OC-5104,2018-01-12,,AccesoriosTotal SRL,Accesorios,202060779.0,Contado,Pagado
OC-5105,2018-01-12,2018-10-12,MegaComputo SRL,Periféricos,24769253.0,Contado,Pagado
OC-5106,2018-01-12,2018-06-12,MegaComputo SRL,Almacenamiento,170314053.0,Contado,Pagado
OC-5107,2018-01-12,,NetSupply SA,Redes,127280747.0,Contado,Pagado
OC-5108,2018-01-12,,NetSupply SA,Seguridad,113907094.0,30 días,Pagado
OC-5109,2019-01-01,2019-08-01,DistribuidoraTech SA,Smartphones,482016079.0,60 días,Pagado
OC-5110,2019-01-01,2019-05-01,MegaComputo SRL,Computación,511236426.0,30 días,Pagado
OC-5111,2019-01-01,,DistribuidoraTech SA,Tablets,188475043.0,Contado,Pagado
OC-5112,2019-01-01,,ElectroImport SA,TV/Audio,320282981.0,Contado,Pagado
OC-5113,2019-01-01,2019-08-01,AccesoriosTotal SRL,Accesorios,176592921.0,60 días,Pagado
OC-5114,2019-01-01,2019-06-01,MegaComputo SRL,Periféricos,220885887.0,30 días,Pagado
OC-5115,2019-01-01,,MegaComputo SRL,Almacenamiento,119263981.0,30 días,Pagado
OC-5116,2019-01-01,,NetSupply SA,Redes,119079727.0,60 días,Pagado
OC-5117,2019-01-01,,NetSupply SA,Seguridad,88960545.0,30 días,Pagado
OC-5118,2019-01-02,,DistribuidoraTech SA,Smartphones,454079668.0,Contado,Pagado
OC-5119,2019-01-02,,MegaComputo SRL,Computación,541902424.0,60 días,Pagado
OC-5120,2019-01-02,,DistribuidoraTech SA,Tablets,183043736.0,60 días,Pagado
OC-5121,2019-01-02,2019-05-02,ElectroImport SA,TV/Audio,289147296.0,60 días,Pagado
OC-5122,2019-01-02,2019-06-02,AccesoriosTotal SRL,Accesorios,165345358.0,30 días,Pagado
OC-5123,2019-01-02,,MegaComputo SRL,Periféricos,246860722.0,Contado,Pagado
OC-5124,2019-01-02,,MegaComputo SRL,Almacenamiento,130197245.0,60 días,Pagado
OC-5125,2019-01-02,,NetSupply SA,Redes,106779702.0,Contado,Pagado
OC-5126,2019-01-02,,NetSupply SA,Seguridad,83154208.0,60 días,Pagado
OC-5127,2019-01-03,,DistribuidoraTech SA,Smartphones,460991049.0,30 días,Pagado
OC-5128,2019-01-03,,MegaComputo SRL,Computación,484193031.0,60 días,Pagado
OC-5129,2019-01-03,2019-09-03,DistribuidoraTech SA,Tablets,199384376.0,60 días,Pagado
OC-5130,2019-01-03,,ElectroImport SA,TV/Audio,399866632.0,30 días,Pagado
OC-5131,2019-01-03,2019-09-03,AccesoriosTotal SRL,Accesorios,22273107.0,60 días,Pagado
OC-5132,2019-01-03,2019-09-03,MegaComputo SRL,Periféricos,21506961.0,60 días,Pagado
OC-5133,2019-01-03,,MegaComputo SRL,Almacenamiento,132433672.0,30 días,Pagado
OC-5134,2019-01-03,,NetSupply SA,Redes,110161292.0,60 días,Pagado
OC-5135,2019-01-03,,NetSupply SA,Seguridad,103986909.0,30 días,Pagado
OC-5136,2019-01-04,2019-08-04,DistribuidoraTech SA,Smartphones,577675032.0,30 días,Pagado
OC-5137,2019-01-04,,MegaComputo SRL,Computación,586770777.0,Contado,Pagado
OC-5138,2019-01-04,2019-05-04,DistribuidoraTech SA,Tablets,235232134.0,30 días,Pagado
